keys,en,pt,it,zh,ko,ja,sh,gm,fr,pl,tu
JESTER_CRAB,Jester Crab,Caranguejo Bobo,Granchio giullare,小丑蟹,곡예 게,ジェスターカニ,Cangrejo Bufón,Spaßkrabbe,Crabe Bouffon,Król Lew,Şakacı Yengeç
JESTER_CRAB_DESCRIPTION,Turns adjacent island {PLANT_CARROT} into {PLANT_PURPLE_CARROT},Transforma {PLANT_CARROT} em ilhas adjacentes em {PLANT_PURPLE_CARROT},Trasforma l'isola adiacente {PLANT_CARROT} in {PLANT_PURPLE_CARROT},将相邻岛屿的{PLANT_CARROT}变成{PLANT_PURPLE_CARROT},인접한 섬의 {PLANT_CARROT}을 {PLANT_PURPLE_CARROT}으로 바꿉니다,隣接する島の{PLANT_CARROT}を{PLANT_PURPLE_CARROT}に変える,Transforma el {PLANT_CARROT} de la isla adyacente en {PLANT_PURPLE_CARROT},Verwandelt benachbarte Insel {PLANT_CARROT} in {PLANT_PURPLE_CARROT},Transforme une {PLANT_CARROT} d'une île adjacente en {PLANT_PURPLE_CARROT},Zmienia sąsiednią wyspę {PLANT_CARROT} w {PLANT_PURPLE_CARROT},Yan adadaki {PLANT_CARROT}'ı {PLANT_PURPLE_CARROT} haline getirir.
RABBIT,Rabbit,Coelho,Coniglio,兔子,토끼,ウサギ,Conejo,Hase,Lapin,Królik,Tavşan
RABBIT_DESCRIPTION,+2 {PRODUCTION} and +1 {WATER} cost to every {PLANT_CARROT} on adjacent islands,+2 {PRODUCTION} e +1 de custo de {WATER} para {PLANT_CARROT} em ilhas adjacentes,+2 {PRODUCTION} e +1 {WATER} di costo per ogni {PLANT_CARROT} sulle isole adiacenti,相邻岛屿的每个{PLANT_CARROT}+2 {PRODUCTION}和+1 {WATER}成本,인접한 섬의 모든 {PLANT_CARROT}에 +2 {PRODUCTION} 및 +1 {WATER} 비용 추가,隣接する島のすべての{PLANT_CARROT}に+2 {PRODUCTION}と+1 {WATER}のコストを追加する,+2 {PRODUCTION} y +1 {WATER} de costo para cada {PLANT_CARROT} en islas adyacentes,+2 {PRODUCTION} und +1 {WATER} Kosten für jede {PLANT_CARROT} auf benachbarten Inseln,Chaque {PLANT_CARROT} sur les îles adjacentes obtient +2 {PRODUCTION} et +1 coût en {WATER},+2 {PRODUCTION} i +1 {WATER} kosztu dla każdej {PLANT_CARROT} na sąsiednich wyspach,Yan adalardaki her {PLANT_CARROT} için +2 {PRODUCTION} ve +1 {WATER} maliyeti
RABBIT_FOOT,Rabbit Foot,Pé de Coelho,Piede di Coniglio,兔子脚,토끼 발,ウサギの足,Pata de Conejo,Hasenfuß,Pied de Lapin,Stopa Królika,Tavşan Ayağı
GROUP_RABBITS,Rabbits,Coelho,Conigli,兔子,토끼들,ウサギ,Conejos,Kaninchen,Lapins,Króliki,Tavşanlar
GROUP_CARROTS,Carrots,Cenouras,Carote,胡萝卜,당근,人参,Zanahorias,Karotten,Carottes,Marchewki,Havuçlar
ELECTRIC_CARROT,Electric Carrot,Cenoulétrica,Carota Elettrica,电动胡萝卜,전기당근,電気のニンジン,Zanahoria Eléctrica,Elektro-Karotte,Carotte Électrique,Elektryczna Marchewka,Elektrikli Havuç
ELECTRIC_CARROT_DESCRIPTION,Produces 5 {ENERGY}\nIf adjacent to a {ANIMAL_RABBIT} the {ANIMAL_RABBIT} eats it making the {ANIMAL_RABBIT} produce 5 {ENERGY} per {PRODUCTION},Produz 5 {ENERGY}\nSe adjacente a um {ANIMAL_RABBIT} ele o come assim o {ANIMAL_RABBIT} produz 5 de {ENERGY} por {PRODUCTION},"Produce 5 {ENERGY}\n Se adiacente a un {ANIMAL_RABBIT}, il {ANIMAL_RABBIT} la mangia facendo produrre al {ANIMAL_RABBIT} 5 {ENERGY} per {PRODUCTION}",产生5 {ENERGY}\n如果与{ANIMAL_RABBIT}相邻，{ANIMAL_RABBIT}会吃掉它，使{ANIMAL_RABBIT}每{PRODUCTION}产生5 {ENERGY},5 {ENERGY} 생산\n인접한 {ANIMAL_RABBIT} 옆에 있으면 {ANIMAL_RABBIT}이 먹어 {ANIMAL_RABBIT}가 {PRODUCTION}당 5 {ENERGY} 생산,5{ENERGY}を生産する\n {ANIMAL_RABBIT}の隣にいる場合、{ANIMAL_RABBIT}がそれを食べて、{ANIMAL_RABBIT}が{PRODUCTION}ごとに5{ENERGY}を生産するようにする,"Produce 5 {ENERGY}\n Si está adyacente a un {ANIMAL_RABBIT}, el {ANIMAL_RABBIT} lo come haciendo que el {ANIMAL_RABBIT} produzca 5 {ENERGY} por {PRODUCTION}","Produziert 5 {ENERGY}\n Wenn neben einem {ANIMAL_RABBIT}, frisst der {ANIMAL_RABBIT} sie und der {ANIMAL_RABBIT} produziert 5 {ENERGY} pro {PRODUCTION}","Produit 5 {ENERGY}\n Si adjacent à un {ANIMAL_RABBIT}, le {ANIMAL_RABBIT} la mange et produit 5 {ENERGY} par {PRODUCTION}","Produkuje 5 {ENERGY}\nJeśli sąsiedni {ANIMAL_RABBIT} je ją, to {ANIMAL_RABBIT} zaczyna produkować 5 {ENERGY} za każdą {PRODUCTION}","5 {ENERGY} üretir\nYanında bir {ANIMAL_RABBIT} varsa, {ANIMAL_RABBIT} onu yer ve {ANIMAL_RABBIT} başına 5 {ENERGY} üretir"
CORRUPTED_CARROT,Corrupted Carrot,Cenoura Corrompida,Carota Corrotta,腐化胡萝卜,타락한 당근,破壊されたニンジン,Zanahoria Corrompida,Verdorbene Karotte,Carotte Corrompue,Zepsuta Marchewka,Bozuk Havuç
CORRUPTED_CARROT_DESCRIPTION,+2 {WATER} cost to adjacent island {ANIMALS}\nDestroys {PLANTS} on same island,+2 de custo de {WATER} para {ANIMALS} em ilhas adjacentes\nDestrói outras {PLANTS} na mesma ilha,+2 {WATER} di costo per gli {ANIMALS} dell'isola adiacente\nDistrugge {PLANTS} sulla stessa isola,增加相邻岛屿{ANIMALS}的+2 {WATER}成本\n销毁同一岛屿的{PLANTS},인접한 섬의 {ANIMALS}에게 +2 {WATER} 비용 추가\n동일한 섬의 {PLANTS} 파괴,隣接する島の{ANIMALS}のための+2 {WATER}コスト\n 同じ島の{PLANTS}を破壊する,+2 {WATER} de costo para los {ANIMALS} de la isla adyacente\n Destruye {PLANTS} en la misma isla,+2 {WATER} Kosten für {ANIMALS} auf benachbarten Inseln\n Zerstört {PLANTS} auf derselben Insel,Augmente le coût en {WATER} de +2 pour les {ANIMALS} des îles adjacentes\nDétruit les {PLANTS} sur la même île,+2 {WATER} kosztu dla sąsiednich {ANIMALS} na tej samej wyspie\nNiszczy {PLANTS} na tej samej wyspie,Yan adadaki {ANIMALS} için +2 {WATER} maliyeti\nAynı adadaki {PLANTS} yok eder
CORRUPTED_BUNNY,Corrupted Bunny,Coelhinho Corrompido,Coniglio Corrotto,腐化兔,타락한 토끼,破壊されたウサギ,Conejo Corrompido,Verderbter Hase,Corrupted Bunny,Zepsuty Królik,Bozuk Tavşan
CORRUPTED_BUNNY_DESCRIPTION,Kills 1 other {ANIMAL} on same island every turn giving 50{GOLD} per {ANIMAL}\n+5{PRODUCTION} per adjacent {PLANT_CORRUPTED_CARROT}\nif enough {SLOT} 1 new {ANIMAL_CORRUPTED_BUNNY} is born on same island every turn,"Mata 1 outro {ANIMAL} na mesma ilha por turno,50 de {GOLD} por {ANIMAL}\n+5 de {PRODUCTION} por {PLANT_CORRUPTED_CARROT} em ilhas adjacentes\nSe tiver {SLOT} 1 novo {ANIMAL_CORRUPTED_BUNNY} nasce na mesma ilha todo turno ",Uccide 1 altro {ANIMAL} sulla stessa isola ogni turno dando 50{GOLD} per {ANIMAL}\n+5{PRODUCTION} per ogni {PLANT_CORRUPTED_CARROT} adiacente\nse ci sono abbastanza {SLOT} 1 nuovo {ANIMAL_CORRUPTED_BUNNY} nasce sulla stessa isola ogni turno,每回合杀死同一岛屿的1只其他{ANIMAL}，每只{ANIMAL}给予50{GOLD}\n相邻的{PLANT_CORRUPTED_CARROT}+5{PRODUCTION}\n如果有足够的{SLOT}，每回合在同一岛屿上出生1只新的{ANIMAL_CORRUPTED_BUNNY},동일한 섬의 다른 {ANIMAL}을 매턴 1마리 죽여 1{ANIMAL}당 50{GOLD} 제공\n인접한 {PLANT_CORRUPTED_CARROT}당 +5{PRODUCTION}\n충분한 {SLOT}이 있으면 동일한 섬에서 매턴 새로운 {ANIMAL_CORRUPTED_BUNNY}가 태어납니다,他の{ANIMAL}を毎ターン1匹殺し、1匹につき50{GOLD}を得る\n {PLANT_CORRUPTED_CARROT}に隣接している場合、+5{PRODUCTION},Mata 1 {ANIMAL} en la misma isla cada turno dando 50{GOLD} por {ANIMAL}\n +5{PRODUCTION} por cada {PLANT_CORRUPTED_CARROT} adyacente\n si hay suficiente {SLOT} nace 1 nuevo {ANIMAL_CORRUPTED_BUNNY} en la misma isla cada turno,Tötet 1 anderes {ANIMAL} auf derselben Insel jeden Zug und gibt 50{GOLD} pro {ANIMAL}\n+5{PRODUCTION} pro angrenzender {PLANT_CORRUPTED_CARROT}\nWenn genug {SLOT} wird 1 neuer {ANIMAL_CORRUPTED_BUNNY} jeden Zug auf derselben Insel geboren,"Tue 1 autre {ANIMAL} sur la même île à chaque tour, donnant 50{GOLD} par {ANIMAL} tué\n+5{PRODUCTION} pour chaque {PLANT_CORRUPTED_CARROT} adjacente\nsi suffisamment d'{SLOT}, 1 nouveau {ANIMAL_CORRUPTED_BUNNY} naît sur la même île à chaque tour","Zabija 1 inne {ANIMAL} na tej samej wyspie co turę, dając 50{GOLD} za każde {ANIMAL}\n+5{PRODUCTION} za każdą sąsiednią {PLANT_CORRUPTED_CARROT}\njeśli wystarczająco {SLOT} 1 nowe {ANIMAL_CORRUPTED_BUNNY} rodzi się na tej samej wyspie co turę","Aynı adada her turda 1 diğer {ANIMAL} öldürür ve {ANIMAL} başına 50{GOLD} verir\nYanındaki {PLANT_CORRUPTED_CARROT} başına +5{PRODUCTION}\nYeterli {SLOT} varsa, her turda aynı adada 1 yeni {ANIMAL_CORRUPTED_BUNNY} doğar"
FISH,Fish,Peixe,Pesce,鱼,물고기,魚,Pez,Fisch,Poisson,Ryba,Balık
FISHERMANS_HUT,Fisherman's Hut,Cabana do Pescador,Capanno del Pescatore,渔夫小屋,낚시꾼의 오두막,漁師の小屋,Cabaña del Pescador,Fischerhütte,Cabane de pêcheur,Hutnik Rybaka,Balıkçı Kulübesi
FISHERMANS_HUT_DESCRIPTION,Gives 10 {ITEM_FISH}\n+10 {PRODUCTION} for each empty adjacent space or adjacent {STRUCTURE_LAKE},Produz 10 {ITEM_FISH}\n+10 {PRODUCTION} para cada espaço vazio ou {STRUCTURE_LAKE} adjacente,Dà 10 {ITEM_FISH}\n+10 {PRODUCTION} per ogni spazio vuoto adiacente o {STRUCTURE_LAKE} adiacente,提供10个{ITEM_FISH}\n对每个相邻的空地或相邻的{STRUCTURE_LAKE}额外+10 {PRODUCTION},10개의 {ITEM_FISH}를 제공합니다\n인접한 빈 공간이나 {STRUCTURE_LAKE}마다 +10 {PRODUCTION},隣接する空きスペースまたは{STRUCTURE_LAKE}ごとに10 {ITEM_FISH}を提供\n+10 {PRODUCTION},Ofrece 10 {ITEM_FISH}\n+10 {PRODUCTION} por cada espacio adyacente vacío o {STRUCTURE_LAKE} adyacente,Gibt 10 {ITEM_FISH}\n+10 {PRODUCTION} für jeden leeren angrenzenden Raum oder angrenzenden {STRUCTURE_LAKE},Offre 10 {ITEM_FISH}\n+10 {PRODUCTION} pour chaque espace adjacent vide ou {STRUCTURE_LAKE} adjacent,Daje 10 {ITEM_FISH}\n+10 {PRODUCTION} za każdą pustą przestrzeń obok lub obok {STRUCTURE_LAKE},Her boş bitişik alan veya bitişik {STRUCTURE_LAKE} başına 10 {ITEM_FISH} verir\n+10 {PRODUCTION}
SHEEP,Sheep,Ovelha,Pecora,绵羊,양,羊,Oveja,Schaf,Mouton,Owca,Koyun
SHEEP_DESCRIPTION,"2x{PRODUCTION} if 3 or more {GROUP_SHEEPS} on same island\nIf adjacent to {PLANT_BLUE_WHEAT}, eats it turning into {ANIMAL_ELECTRIC_SHEEP}",2x de {PRODUCTION} se tiver 3 ou mais {GROUP_SHEEPS} na mesma ilha\nSe adjacente a {PLANT_BLUE_WHEAT} o come virando {ANIMAL_ELECTRIC_SHEEP},"2x{PRODUCTION} se ci sono 3 o più {GROUP_SHEEPS} sulla stessa isola\nSe adiacente a {PLANT_BLUE_WHEAT}, la mangia trasformandosi in {ANIMAL_ELECTRIC_SHEEP}",如果同一岛屿上有3只或更多的{GROUP_SHEEPS}，则2x{PRODUCTION}\n如果与{PLANT_BLUE_WHEAT}相邻，吃掉它，变成{ANIMAL_ELECTRIC_SHEEP},동일한 섬에 3마리 이상의 {GROUP_SHEEPS}가 있으면 2x{PRODUCTION}\n{PLANT_BLUE_WHEAT} 옆에 있으면 먹어 {ANIMAL_ELECTRIC_SHEEP}로 변합니다,同じ島に3匹以上の{GROUP_SHEEPS}がいる場合、2x{PRODUCTION}\n {PLANT_BLUE_WHEAT}に隣接している場合、それを食べて{ANIMAL_ELECTRIC_SHEEP}に変わる,"2x{PRODUCTION} si hay 3 o más {GROUP_SHEEPS} en la misma isla\n Si está adyacente a {PLANT_BLUE_WHEAT}, lo consume y se transforma en {ANIMAL_ELECTRIC_SHEEP}","2x{PRODUCTION} wenn 3 oder mehr {GROUP_SHEEPS} auf derselben Insel\nWenn neben {PLANT_BLUE_WHEAT}, frisst es und verwandelt sich in {ANIMAL_ELECTRIC_SHEEP}","2x{PRODUCTION} si 3 ou plus {GROUP_SHEEPS} sur la même île\nSi adjacent à du {PLANT_BLUE_WHEAT}, le mange et devient {ANIMAL_ELECTRIC_SHEEP}","2x{PRODUCTION} jeśli jest 3 lub więcej {GROUP_SHEEPS} na tej samej wyspie\nJeśli sąsiednia {PLANT_BLUE_WHEAT}, to ją zjada, przekształcając się w {ANIMAL_ELECTRIC_SHEEP}",Aynı adada 3 veya daha fazla {GROUP_SHEEPS} varsa 2x{PRODUCTION}\nYanında {PLANT_BLUE_WHEAT} varsa onu yer ve {ANIMAL_ELECTRIC_SHEEP} haline gelir
FAKE_SHEEP,"""Sheep""","""Ovelha""","""PECORA""","""绵羊""","""양""","""羊""","""Oveja""","""Schaf""","""Mouton""","""Owca""","""Koyun"""
FAKE_SHEEP_DESCRIPTION,Eats 1{GROUP_SHEEPS} on same island every turn\n+2{PRODUCTION} per {GROUP_SHEEPS} eaten,Come 1{GROUP_SHEEPS} na mesma ilha todo turno\n+2 de {PRODUCTION} por cada {GROUP_SHEEPS} comida,Mangia 1{GROUP_SHEEPS} sulla stessa isola ogni turno\n+2{PRODUCTION} per ogni {GROUP_SHEEPS} mangiato,每回合吃掉同一岛屿上的1只{GROUP_SHEEPS}\n每吃掉的{GROUP_SHEEPS}+2{PRODUCTION},동일한 섬의 1{GROUP_SHEEPS}를 매 턴 먹습니다\n먹은 {GROUP_SHEEPS}당 +2{PRODUCTION},毎ターン同じ島の1{GROUP_SHEEPS}を食べる\n 食べた{GROUP_SHEEPS}ごとに+2{PRODUCTION},Consume 1{GROUP_SHEEPS} en la misma isla cada turno\n +2{PRODUCTION} por cada {GROUP_SHEEPS} consumido,Friss 1{GROUP_SHEEPS} auf derselben Insel jeden Zug\n+2{PRODUCTION} pro gefressenen {GROUP_SHEEPS},Mange 1 {GROUP_SHEEPS} sur la même île à chaque tour\n+1{PRODUCTION} pour chaque {GROUP_SHEEPS} mangé,Zjada 1{GROUP_SHEEPS} na tej samej wyspie co turę\n+2{PRODUCTION} za każde {GROUP_SHEEPS} zjedzone,Aynı adada her turda 1 {GROUP_SHEEPS} yer\nYenen {GROUP_SHEEPS} başına +2{PRODUCTION}
ELECTRIC_SHEEP,Electric Sheep,Ovelhétrica,Pecora Elettrica,电绵羊,전기 양,電気羊,Oveja Eléctrica,Elektro-Schaf,Mouton Électrique,Elektryczna Owca,Elektrikli Koyun
ELECTRIC_SHEEP_DESCRIPTION,Produces +7 {ENERGY} per {GROUP_SHEEPS}{PRODUCTION} in 1 island range\nAdjacent island {PLANT_APPLE_TREE} use {ENERGY} instead of {WATER},Produz +7 de {ENERGY} por cada {PRODUCTION} de {GROUP_SHEEPS} em ilhas adjacentes\n{PLANT_APPLE_TREE} em ilhas adjacentes usam {ENERGY} ao invés de {WATER},Produce +7 {ENERGY} per {GROUP_SHEEPS}{PRODUCTION} in un raggio di 1 isola\nLe {PLANT_APPLE_TREE} delle isole adiacenti utilizzano {ENERGY} invece di {WATER},在1个岛屿的范围内，为{GROUP_SHEEPS}{PRODUCTION}产生+7 {ENERGY}\n相邻岛屿的{PLANT_APPLE_TREE}使用{ENERGY}而不是{WATER},1섬 범위 내에서 {GROUP_SHEEPS}{PRODUCTION}당 +7 {ENERGY} 생산\n인접한 섬의 {PLANT_APPLE_TREE}는 {WATER} 대신 {ENERGY} 사용,1島の範囲内の{GROUP_SHEEPS}{PRODUCTION}ごとに+7 {ENERGY}\n 隣接する島の{PLANT_APPLE_TREE}は{WATER}の代わりに{ENERGY}を使用,Produce +7 {ENERGY} por {GROUP_SHEEPS}{PRODUCTION} en un rango de 1 isla\n Las {PLANT_APPLE_TREE} en islas adyacentes usan {ENERGY} en lugar de {WATER},Produziert +7 {ENERGY} pro {GROUP_SHEEPS}{PRODUCTION} im Umkreis von 1 Insel\nAngrenzende Insel {PLANT_APPLE_TREE} verwendet {ENERGY} anstelle von {WATER},Produit +7 {ENERGY} par {GROUP_SHEEPS}{PRODUCTION} dans un rayon de 1 île\nLes {PLANT_APPLE_TREE} des îles adjacentes utilisent {ENERGY} au lieu de {WATER},Produkuje +7 {ENERGY} za każde {GROUP_SHEEPS}{PRODUCTION} w zasięgu 1 wyspy\nSąsiednia wyspa {PLANT_APPLE_TREE} używa {ENERGY} zamiast {WATER},1 adalık mesafede {GROUP_SHEEPS}{PRODUCTION} başına +7 {ENERGY} üretir\nYan adadaki {PLANT_APPLE_TREE} {ENERGY} yerine {WATER} kullanır
WOOL,Wool,Lã,Lana,羊毛,양털,羊毛,Lana,Wolle,Laine,Wełna,Yün
ELECTRIC_WOOL,Electric Wool,Lã Elétrica,Lana Elettrica,电羊毛,전기 양털,電気羊毛,Lana Eléctrica,Elektro-Wolle,Laine Électrique,Elektryczna Wełna,Elektrikli Yün
FEMALE_RABBIT,Female Rabbit,Coelha,Coniglia Femmina,母兔,암 토끼,雌ウサギ,Coneja Hembra,Weiblicher Hase,Lapin Femelle,Samica Królika,Dişi Tavşan
FEMALE_RABBIT_DESCRIPTION,"Gives a card of the cheapest {GROUP_RABBITS}, that isn't itself, in same island","Dá uma carta do {GROUP_RABBITS} mais barato, que não é ela mesma, na mesma ilha","Dà una carta del {GROUP_RABBITS} più economico, che non sia se stesso, nella stessa isola",提供一张最便宜的{GROUP_RABBITS}卡片，不包括它自己，在同一个岛上,"같은 섬에서, 자신이 아닌 가장 저렴한 {GROUP_RABBITS} 카드를 줍니다",同じ島で、それ自体ではない最も安い{GROUP_RABBITS}のカードを与える,"Da una carta del {GROUP_RABBITS} más barato, que no sea sí misma, en la misma isla","Gibt eine Karte des günstigsten {GROUP_RABBITS}, die nicht selbst ist, auf derselben Insel",Donne une carte du {GROUP_RABBITS} le moins cher sur la même île,"Daje kartę najtańszego {GROUP_RABBITS}, która nie jest sobą, na tej samej wyspie","Aynı adada, kendisi olmayan en ucuz {GROUP_RABBITS} kartını verir"
BUNNICULA,Bunnicula,Dracuelho,Bunnicula,Bunnicula,Bunnicula,バニキュラ,Bunnicula,Bunnicula,Bunnicula,Krolikula,Bunnicula
BUNNICULA_DESCRIPTION,Transforms 1 {PLANT} in the range of 3 islands into their {GROUP_WITHERED_CROPS} version\nGives 500{GOLD} per transformation\n+5 {PRODUCTION} per {PLANT_WITHERED_CARROT} in a 2 island range,Transforma 1 {PLANT} no alcance de 3 ilhas em sua versão {GROUP_WITHERED_CROPS}\nGera 500{GOLD} por transformação\n+5 de {PRODUCTION} por {PLANT_WITHERED_CARROT} em um range de 2 ilhas,Trasforma 1 {PLANT} nel raggio di 3 isole nella loro versione {GROUP_WITHERED_CROPS}\nDà 500{GOLD} per trasformazione\n+5 {PRODUCTION} per {PLANT_WITHERED_CARROT} in un raggio di 2 isole,将范围内的3个岛屿上的1个{PLANT}转变为它们的{GROUP_WITHERED_CROPS}版本\n每次转换提供500{GOLD}\n在2个岛屿范围内每个{PLANT_WITHERED_CARROT}增加5 {PRODUCTION},3개의 섬 범위 내에 있는 1개의 {PLANT}를 {GROUP_WITHERED_CROPS} 버전으로 변환\n변환당 500{GOLD} 제공\n2개 섬 범위 내의 {PLANT_WITHERED_CARROT} 당 +5 {PRODUCTION},3つの島の範囲内にある1つの{PLANT}を{GROUP_WITHERED_CROPS}バージョンに変換\n変換ごとに500{GOLD}を提供\n2島の範囲内の{PLANT_WITHERED_CARROT}ごとに+5 {PRODUCTION},Transforma 1 {PLANT} en el rango de 3 islas en su versión {GROUP_WITHERED_CROPS}\nDa 500{GOLD} por transformación\n+5 {PRODUCTION} por cada {PLANT_WITHERED_CARROT} en un rango de 2 islas,Verwandelt 1 {PLANT} im Umkreis von 3 Inseln in ihre {GROUP_WITHERED_CROPS} Version\nGibt 500{GOLD} pro Umwandlung\n+5 {PRODUCTION} pro {PLANT_WITHERED_CARROT} im Umkreis von 2 Inseln,Transforme 1 {PLANT} dans un rayon de 3 îles en leur version {GROUP_WITHERED_CROPS}\nDonne 500{GOLD} par transformation\n+5 {PRODUCTION} par {PLANT_WITHERED_CARROT} dans un rayon de 2 îles,Transformuje 1 {PLANT} w zasięgu 3 wysp na ich wersję {GROUP_WITHERED_CROPS}\nDaje 500{GOLD} za przemianę\n+5 {PRODUCTION} za każdą {PLANT_WITHERED_CARROT} w zasięgu 2 wysp,3 adalık bir alanda 1 {PLANT}'ı {GROUP_WITHERED_CROPS} versiyonuna dönüştürür\nDönüşüm başına 500{GOLD} verir\n2 adalık menzildeki her {PLANT_WITHERED_CARROT} için +5 {PRODUCTION}
